Festival,Location,nearStation,startDate,endDate
제 5회 자전거 대축전,엑스포시민광장,"3,5,186",20130428,20130428
부처님 오신날 기념 등탑 점등식,대전시청광장 남문광장,"3,5,186",20130429,20130429
시 노인연합회장기 게이트볼 대회,원촌동전천후게이트볼장,144,20130430,20130430
근로자의 날 기념식,평송청소년수련원,5,20130501,20130501
제 8회 시민연극페스티벌,,"143,152",20130503,20130505
어린이 경제교실,시청,18,20130505,20130505
제 91회 어린이날 행사 어린이날 큰잔치,,18,20130505,20130505
어버이날 기념식,시청,18,20130508,20130508
아버지 토크 콘서트,시청,18,20130509,20130509
유성온천축제,계룡스파텔,"59,60,57,61",20130510,20130512
제 3회 대전 NGO 축제 ,시청광장,18,20130511,20130511
희망나눔 사랑의 바자회,남문광장,"3,5,186",20130523,20130523
산림박람회 국제심포지엄,대전컨벤션센터,2,20130527,20130527
2013산림 IT컨퍼런스·경진대회,대전컨벤션센터,2,20130528,20130528
"제 12회 할아버지,할머니 초청 행복축제",충무체육관,"172,192",20130530,20130530
대전장애인 기능경기대회 폐회식,한국폴리텍대학,"223,225",20130531,20130531
나눔 경영 박람회,서대전시민광장,139,20130601,20130601
인터넷중독 예방 u별난 힐링 콘서트,카이스트 대강당,"21,25,22,107,23,106",20130604,20130604
제 18회 환경의날 행사,시청,18,20130605,20130605
2013 대전충청권 마을기업 박람회,엑스포 남문광장,"3,5,186",20130615,20130616
2013 첨단국방 산업전 ,대전컨벤션센터,2,20130618,20130620
대전국제오픈볼링대회,월드컵볼링경기장,"183,199",20130630,20130713
제 1회 협동조합의 날 기념행사,시청,18,20130702,20130702
제 18회 여성주간 기념 대전시민 걷기 한마당,엑스포 시민광장,"3,5,186",20130706,20130706
대전시티즌 홈경기,월드컵경기장,"183,199",20130706,20130706
icists-kaist 2013 plus 대중강연,카이스트 대강당,"21,25,22,107,23,106",20130807,20130807
2013사이언스페스티벌,엑스포과학공원,"27,26,2",20130809,20130811
견우직녀 축제,엑스포시민광장,"3,5,186",20130810,20130811
대전국제합창페스티벌,엑스포시민광장,"3,5,186",20130829,20130914
대전여성취업박랍회,시청,18,20130903,20130903
도시공간정보 컨퍼런스,시청,18,20130904,20130904
유망중소기업 및 매출의 탑 시상식,시청,18,20130906,20130906
스카이로드 개장식 ,으능정이,143,20130906,20130906
대전시티즌 홈경기 안내,월드컵경기장,"183,199",20130911,20130911
9월중 목요아카데미 안내,시청,18,20130912,20130912
토요페스티벌 대학생 끼 페스티벌,대흥동 우리들 공원,143,20130914,20130914
114주년 철도의 날 기념음악회,예술의 전당,"4, 10, 5",20130915,20130915
토요페스티벌 넌버벌 퍼포먼스 가족,대흥동 우리들 공원,143,20130921,20130921
국제기타페스티벌,예술의 전당,"4,5,10,3, 186,5",20130928,20130928
국제푸와페,무역전시관,"1,2",20131003,20131006
한밭나눔대축제 행사,서대전시민광장,139,20131005,20131005
한밭수목원 벼룩시장,한밭수목원,"186,3",20131005,20131005
세계인어울림한마당축제,한빛탑광장,"1,2",20131006,20131006
한글어울림 한마당 행사 안내,엑스포과학공원,"27,26,2",20131009,20131009
일자리박람회,시청,18,20131011,20131011
힙합 페스티벌,대흥동 우리들 공원,143,20131012,20131012
